"V1","V2","V3","V4","V5","V6","V7","V8"
"Variable","Null","(1)","(2)","(3)","(4)","(5)","(6)"
"Anti-immigration team","","-0.069*","-0.070*","-0.072*","-0.073*","",""
"","","(0.036)","(0.037)","(0.041)","(0.043)","",""
"Pro-immigration team","","","","-0.005","-0.005","",""
"","","","","(0.025)","(0.025)","",""
"Statistical skills","0.041","0.039","0.039","0.039","0.039","0.040","0.040"
"","(0.026)","(0.025)","(0.025)","(0.024)","(0.024)","(0.025)","(0.025)"
"Topic experience","-0.061*","-0.064*","-0.064*","-0.065*","-0.065*","-0.057*","-0.057*"
"","(0.031)","(0.031)","(0.031)","(0.032)","(0.032)","(0.029)","(0.030)"
"Hypothesis prior","","","0.003","","0.002","","0.000"
"","","","(0.021)","","(0.021)","","(0.020)"
"Pro-immigration index","","","","","","0.010","0.010"
"","","","","","","(0.008)","(0.008)"
"Log-Lik","-767.13","-766.32","-760.27","-760.21","-760.18","-763.82","-763.82"
"AIC","600.71","1558.64","1548.54","1548.42","1550.36","1553.64","1555.64"
"R-squared","0.043","0.048","0.048","0.048","0.048","0.045","0.045"
"","","","","","","",""
"Anti-immigration team","","-0.068*","-0.068*","-0.072*","-0.071*","",""
"","","(0.034)","(0.036)","(0.039)","(0.041)","",""
"Pro-immigration team","","","","-0.006","-0.006","",""
"","","","","(0.024)","(0.024)","",""
"Statistical skills","0.046*","0.043*","0.043*","0.043*","0.043*","0.045*","0.045*"
"","(0.026)","(0.024)","(0.024)","(0.024)","(0.024)","(0.025)","(0.025)"
"Topic experience","-0.066*","-0.069*","-0.069*","-0.070*","-0.070*","-0.063*","-0.063*"
"","(0.030)","(0.030)","(0.030)","(0.031)","(0.031)","(0.029)","(0.029)"
"Hypothesis prior","","","-0.003","","-0.003","","-0.006"
"","","","(0.020)","","(0.020)","","(0.019)"
"Pro-immigration index","","","","","","0.009","0.009"
"","","","","","","(0.008)","(0.008)"
"Log-Lik","-731.66","-724.7","-724.65","-724.52","-724.47","-729","-728.8"
"AIC","1487.31","1475.39","1477.29","1477.05","1478.95","1484","1485.59"
"R-squared","0.045","0.05","0.05","0.05","0.05","0.046","0.047"
