"V1","V2","V3","V4","V5","V6","V7","V8"
"Variable","Null","(1)","(2)","(3)","(4)","(5)","(6)"
"Anti-immigration team","","-0.079*","-0.077*","-0.089*","-0.086*","",""
"","","(0.031)","(0.032)","(0.038)","(0.040)","",""
"Pro-immigration team","","","","-0.015","-0.013","",""
"","","","","(0.034)","(0.033)","",""
"Statistical skills","0.025","0.020","0.020","0.021","0.020","0.021","0.020"
"","(0.018)","(0.017)","(0.017)","(0.017)","(0.017)","(0.017)","(0.017)"
"Topic experience","-0.025*","-0.024*","-0.025*","-0.026*","-0.026*","-0.021","-0.021"
"","(0.014)","(0.014)","(0.014)","(0.014)","(0.014)","(0.013)","(0.014)"
"Hypothesis prior","","","-0.017","","-0.014","","-0.028"
"","","","(0.031)","","(0.030)","","(0.028)"
"Pro-immigration index","","","","","","0.019*","0.020*"
"","","","","","","(0.012)","(0.011)"
"Log-Lik","-282.36","-277.61","-277.27","-277.23","-277","-278.74","-277.81"
"AIC","600.71","593.22","594.55","594.45","596","595.48","595.62"
"R-squared","0.082","0.089","0.089","0.089","0.089","0.087","0.088"
"","","","","","","",""
"Anti-immigration team","","-0.074*","-0.071*","-0.084*","-0.079*","",""
"","","(0.030)","(0.031)","(0.037)","(0.039)","",""
"Pro-immigration team","","","","-0.017","-0.013","",""
"","","","","(0.033)","(0.033)","",""
"Statistical skills","0.027","0.021","0.021","0.022","0.022","0.023","0.023"
"","(0.018)","(0.017)","(0.017)","(0.017)","(0.017)","(0.017)","(0.017)"
"Topic experience","-0.027*","-0.026*","-0.027*","-0.028*","-0.028*","-0.023*","-0.024*"
"","(0.015)","(0.014)","(0.014)","(0.014)","(0.014)","(0.014)","(0.014)"
"Hypothesis prior","","","-0.028","","-0.025","","-0.038"
"","","","(0.029)","","(0.028)","","(0.027)"
"Pro-immigration index","","","","","","0.017","0.018*"
"","","","","","","(0.011)","(0.011)"
"Log-Lik","-271.83","-267.38","-266.44","-266.87","-266.16","-268.91","-267.1"
"AIC","579.66","572.77","572.88","573.74","574.31","575.82","574.2"
"R-squared","0.081","0.088","0.089","0.089","0.09","0.086","0.088"
