"V1","V2","V3","V4","V5","V6","V7","V8"
"Variable","Null","(1)","(2)","(3)","(4)","(5)","(6)"
"Anti-immigration team","","","","-0.057*","-0.055*","",""
"","","","","(0.032)","(0.032)","",""
"Pro-immigration team","","0.040*","0.042*","0.026*","0.028*","",""
"","","(0.016)","(0.016)","(0.015)","(0.015)","",""
"Statistical skills","0.045*","0.041*","0.040*","0.038*","0.038*","0.043*","0.042*"
"","(0.019)","(0.018)","(0.017)","(0.017)","(0.017)","(0.019)","(0.019)"
"Topic experience","-0.046*","-0.042*","-0.042*","-0.043*","-0.043*","-0.043*","-0.043*"
"","(0.017)","(0.017)","(0.016)","(0.017)","(0.016)","(0.018)","(0.017)"
"Hypothesis prior","","","-0.018","","-0.011","","-0.014"
"","","","(0.016)","","(0.016)","","(0.015)"
"Pro-immigration index","","","","","","0.011*","0.011*"
"","","","","","","(0.006)","(0.006)"
"Log-Lik","-41.54","-37.22","-36.67","-34.11","-33.88","-39.94","-39.61"
"AIC","119.07","112.45","113.33","108.22","109.77","117.87","119.22"
"R-squared","0.062","0.068","0.069","0.073","0.073","0.064","0.065"
"","","","","","","",""
"Anti-immigration team","","","","-0.061*","-0.058*","",""
"","","","","(0.035)","(0.035)","",""
"Pro-immigration team","","0.041*","0.044*","0.027*","0.029*","",""
"","","(0.016)","(0.017)","(0.015)","(0.015)","",""
"Statistical skills","0.046*","0.042*","0.041*","0.038*","0.038*","0.043*","0.043*"
"","(0.020)","(0.018)","(0.017)","(0.017)","(0.017)","(0.020)","(0.019)"
"Topic experience","-0.046*","-0.042*","-0.043*","-0.043*","-0.044*","-0.044*","-0.044*"
"","(0.018)","(0.017)","(0.016)","(0.017)","(0.017)","(0.018)","(0.018)"
"Hypothesis prior","","","-0.021","","-0.014","","-0.016"
"","","","(0.016)","","(0.017)","","(0.015)"
"Pro-immigration index","","","","","","0.011*","0.012*"
"","","","","","","(0.006)","(0.006)"
"Log-Lik","-59.43","-54.72","-53.96","-51.01","-50.68","-57.67","-57.24"
"AIC","154.87","147.43","147.92","142.02","143.36","153.34","154.48"
"R-squared","0.062","0.07","0.071","0.075","0.076","0.065","0.066"
