"V1","V2","V3","V4","V5","V6","V7","V8"
"Variable","Null","(1)","(2)","(3)","(4)","(5)","(6)"
"Anti-immigration team","","",""," 0.032"," 0.043","",""
"","","","","(0.046)","(0.042)","",""
"Pro-immigration team","","-0.102*","-0.106*","-0.095*","-0.099*","",""
"","","(0.032)","(0.032)","(0.033)","(0.034)","",""
"Statistical skills","-0.064*","-0.058*","-0.066*","-0.057*","-0.064*","-0.052*","-0.055*"
"","(0.022)","(0.020)","(0.020)","(0.020)","(0.019)","(0.020)","(0.020)"
"Topic experience","0.057*","0.052*","0.055*","0.052*","0.055*","0.049*","0.051*"
"","(0.014)","(0.012)","(0.012)","(0.012)","(0.012)","(0.012)","(0.012)"
"Hypothesis prior","","","-0.065*","","-0.066*","","-0.047*"
"","","","(0.027)","","(0.027)","","(0.014)"
"Pro-immigration index","","","","","","-0.046*","-0.052*"
"","","","","","","(0.014)","(0.026)"
"Log-Lik","-742.86","-712.23","-697.72","-712.33","-697.53","-719.7","-707.91"
"AIC","1507.72","1448.45","1421.44","1450.66","1423.07","1463.4","1441.82"
"R-squared","0.083","0.121","0.138","0.120","0.139","0.111","0.126"
"","","","","","","",""
"Anti-immigration team","","",""," 0.030"," 0.041","",""
"","","","","(0.051)","(0.048)","",""
"Pro-immigration team","","-0.113*","-0.117*","-0.107*","-0.110*","",""
"","","(0.034)","(0.034)","(0.035)","(0.036)","",""
"Statistical skills","-0.063*","-0.056*","-0.065*","-0.055*","-0.063*","-0.050*","-0.053*"
"","(0.024)","(0.020)","(0.020)","(0.020)","(0.020)","(0.020)","(0.020)"
"Topic experience","0.058*","0.052*","0.056*","0.052*","0.056*","0.050*","0.051*"
"","(0.015)","(0.013)","(0.013)","(0.013)","(0.013)","(0.013)","(0.012)"
"Hypothesis prior","","","-0.068*","","-0.070*","","-0.052*"
"","","","(0.029)","","(0.029)","","(0.015)"
"Pro-immigration index","","","","","","-0.051*","-0.055*"
"","","","","","","(0.015)","(0.028)"
"Log-Lik","-756.41","-709.93","-693.28","-710.71","-693.53","-717.83","-704.45"
"AIC","1534.81","1443.86","1412.56","1447.42","1415.05","1459.67","1434.89"
"R-squared","0.082","0.138","0.158","0.137","0.158","0.129","0.145"
