"V1","V2","V3","V4","V5","V6","V7","V8"
"Variable","Null","(1)","(2)","(3)","(4)","(5)","(6)"
"Anti-immigration team","","",""," 0.048"," 0.057","",""
"","","","","(0.048)","(0.049)","",""
"Pro-immigration team","","-0.120*","-0.110*","-0.100*","-0.086*","",""
"","","(0.038)","(0.041)","(0.036)","(0.039)","",""
"Statistical skills","-0.095*","-0.082*","-0.085*","-0.070*","-0.070*","-0.069*","-0.073*"
"","(0.039)","(0.030)","(0.030)","(0.026)","(0.025)","(0.031)","(0.031)"
"Topic experience","0.086*","0.078*","0.079*","0.071*","0.070*","0.065*","0.067*"
"","(0.024)","(0.020)","(0.021)","(0.017)","(0.017)","(0.019)","(0.019)"
"Hypothesis prior","","","-0.050","","-0.056","","-0.038*"
"","","","(0.056)","","(0.051)","","(0.015)"
"Pro-immigration index","","","","","","-0.040*","-0.075*"
"","","","","","","(0.014)","(0.042)"
"Log-Lik","-2001.46","-1849.36","-1841.22","-1837.12","-1825.43","-1916.36","-1887.26"
"AIC","4034.91","3732.72","3718.45","3710.25","3688.87","3866.72","3810.51"
"R-squared","0.138","0.204","0.207","0.209","0.214","0.175","0.187"
"","","","","","","",""
"Anti-immigration team","","",""," 0.050"," 0.060","",""
"","","","","(0.051)","(0.052)","",""
"Pro-immigration team","","-0.126*","-0.115*","-0.105*","-0.091*","",""
"","","(0.038)","(0.041)","(0.035)","(0.038)","",""
"Statistical skills","-0.093*","-0.080*","-0.083*","-0.067*","-0.067*","-0.065*","-0.070*"
"","(0.041)","(0.030)","(0.031)","(0.025)","(0.024)","(0.031)","(0.032)"
"Topic experience","0.087*","0.078*","0.079*","0.070*","0.069*","0.065*","0.067*"
"","(0.025)","(0.020)","(0.022)","(0.017)","(0.017)","(0.019)","(0.020)"
"Hypothesis prior","","","-0.050","","-0.057","","-0.041*"
"","","","(0.059)","","(0.053)","","(0.017)"
"Pro-immigration index","","","","","","-0.043*","-0.077*"
"","","","","","","(0.015)","(0.044)"
"Log-Lik","-2128.4","-1956.71","-1949.02","-1941.75","-1930.18","-2028.86","-1999.74"
"AIC","4288.8","3947.42","3934.04","3919.49","3898.37","4091.72","4035.49"
"R-squared","0.141","0.210","0.213","0.216","0.221","0.181","0.193"
