"V1","V2","V3","V4","V5","V6","V7","V8"
"Variable","Null","(1)","(2)","(3)","(4)","(5)","(6)"
"Anti-immigration team","","","","0.144","0.160","",""
"","","","","(0.123)","(0.118)","",""
"Pro-immigration team","","-0.157*","-0.153*","-0.125*","-0.116*","",""
"","","(0.051)","(0.051)","(0.044)","(0.045)","",""
"Statistical skills","-0.083*","-0.066*","-0.068*","-0.060*","-0.061*","-0.072*","-0.073*"
"","(0.034)","(0.030)","(0.030)","(0.029)","(0.027)","(0.032)","(0.032)"
"Topic experience","0.081*","0.068*","0.066*","0.070*","0.068*","0.071*","0.070*"
"","(0.029)","(0.025)","(0.024)","(0.027)","(0.025)","(0.027)","(0.026)"
"Hypothesis prior","","","-0.073","","-0.088*","","-0.075"
"","","","(0.050)","","(0.048)","","(0.047)"
"Pro-immigration index","","","","","","-0.051*","-0.049*"
"","","","","","","(0.021)","(0.019)"
"Log-Lik","-507","-473.19","-468.46","-463.08","-456.13","-488.94","-484.12"
"AIC","1050","984.38","976.92","966.16","954.25","1015.88","1008.25"
"R-squared","0.071","0.119","0.126","0.133","0.143","0.097","0.104"
"","","","","","","",""
"Anti-immigration team","","","","0.158","0.174","",""
"","","","","(0.132)","(0.127)","",""
"Pro-immigration team","","-0.175*","-0.170*","-0.140*","-0.131*","",""
"","","(0.054)","(0.053)","(0.046)","(0.046)","",""
"Statistical skills","-0.083*","-0.064*","-0.065*","-0.056*","-0.056*","-0.070*","-0.072*"
"","(0.037)","(0.032)","(0.031)","(0.029)","(0.028)","(0.035)","(0.034)"
"Topic experience","0.083*","0.068*","0.066*","0.070*","0.067*","0.072*","0.070*"
"","(0.031)","(0.026)","(0.025)","(0.027)","(0.026)","(0.028)","(0.026)"
"Hypothesis prior","","","-0.078","","-0.094*","","-0.078"
"","","","(0.052)","","(0.050)","","(0.049)"
"Pro-immigration index","","","","","","-0.056*","-0.053*"
"","","","","","","(0.022)","(0.020)"
"Log-Lik","-556.54","-516.99","-511.89","-504.92","-497.43","-536.35","-531.43"
"AIC","1149.08","1071.98","1063.78","1049.83","1036.86","1110.7","1102.87"
"R-squared","0.074","0.13","0.137","0.147","0.157","0.103","0.11"
