"V1","V2","V3","V4","V5","V6","V7","V8"
"Variable","Null","(1)","(2)","(3)","(4)","(5)","(6)"
"Anti-immigration team","","","","-0.029*","-0.028*","",""
"","","","","(0.014)","(0.014)","",""
"Pro-immigration team","","0.026*","0.026*","0.021","0.021","",""
"","","(0.013)","(0.013)","(0.013)","(0.013)","",""
"Statistical skills","0.053*","0.054*","0.054*","0.053*","0.053*","0.052*","0.052*"
"","(0.026)","(0.026)","(0.026)","(0.025)","(0.026)","(0.026)","(0.026)"
"Topic experience","-0.079*","-0.074*","-0.074*","-0.076*","-0.076*","-0.076*","-0.076*"
"","(0.033)","(0.031)","(0.032)","(0.031)","(0.032)","(0.032)","(0.033)"
"Hypothesis prior","","","-0.004","","-0.002","","-0.004"
"","","","(0.010)","","(0.010)","","(0.011)"
"Pro-immigration index","","","","","","0.008*","0.008*"
"","","","","","","(0.004)","(0.004)"
"Log-Lik","-141.69","-136.53","-136.42","-134.88","-134.84","-138.27","-138.17"
"AIC","307.37","299.05","300.85","297.75","299.69","302.55","304.34"
"R-squared","0.019","0.022","0.023","0.024","0.024","0.021","0.021"
"","","","","","","",""
"Anti-immigration team","","","","-0.029*","-0.028*","",""
"","","","","(0.014)","(0.014)","",""
"Pro-immigration team","","0.029*","0.028*","0.023*","0.023*","",""
"","","(0.014)","(0.014)","(0.014)","(0.014)","",""
"Statistical skills","0.052*","0.054*","0.054*","0.052*","0.053*","0.052*","0.052*"
"","(0.026)","(0.026)","(0.026)","(0.026)","(0.026)","(0.026)","(0.026)"
"Topic experience","-0.076*","-0.071*","-0.071*","-0.073*","-0.073*","-0.073*","-0.073*"
"","(0.033)","(0.031)","(0.031)","(0.031)","(0.032)","(0.032)","(0.033)"
"Hypothesis prior","","","-0.004","","-0.002","","-0.004"
"","","","(0.010)","","(0.010)","","(0.011)"
"Pro-immigration index","","","","","","0.009*","0.008*"
"","","","","","","(0.004)","(0.004)"
"Log-Lik","-173.97","-168.03","-167.9","-166.32","-166.28","-170.32","-170.2"
"AIC","371.94","362.05","363.8","360.65","362.57","366.65","368.41"
"R-squared","0.018","0.022","0.023","0.024","0.024","0.021","0.021"
